Point in Time[s],Optimisation Time[s]
7970.0,0.017
7980.0,0.014
7990.0,0.016
8000.0,0.015
8010.0,0.019
8020.0,0.019
8030.0,0.02
8040.0,0.015
8050.0,0.015
8060.0,0.015
8070.0,0.016
8080.0,0.02
8090.0,0.019
8100.0,0.015
8110.0,0.014
8120.0,0.023
8130.0,0.01
8140.0,0.019
8150.0,0.018
8160.0,0.013
8170.0,0.011
8180.0,0.016
8190.0,0.02
8200.0,0.013
8210.0,0.018
8220.0,0.009
8230.0,0.013
8240.0,0.02
8250.0,0.021
8260.0,0.022
8270.0,0.009
8280.0,0.01
8290.0,0.011
8300.0,0.009
8310.0,0.008
8320.0,0.015
8330.0,0.018
8340.0,0.019
8350.0,0.009
8360.0,0.014
8370.0,0.012
8380.0,0.008
8390.0,0.013
8400.0,0.014
8410.0,0.019
8420.0,0.008
8430.0,0.008
8440.0,0.017
8450.0,0.008
8460.0,0.016
8470.0,0.011
8480.0,0.009
8490.0,0.009
8500.0,0.021
8510.0,0.011
8520.0,0.017
8530.0,0.016
8540.0,0.008
8550.0,0.008
8560.0,0.016
8570.0,0.016
8580.0,0.017
8590.0,0.008
8600.0,0.017
8610.0,0.016
8620.0,0.008
8630.0,0.018
8640.0,0.017
8650.0,0.011
8660.0,0.019
8670.0,0.008
8680.0,0.017
8690.0,0.018
8700.0,0.015
8710.0,0.009
8720.0,0.009
8730.0,0.018
8740.0,0.018
8750.0,0.008
8760.0,0.022
8770.0,0.016
8780.0,0.02
8790.0,0.018
8800.0,0.008
8810.0,0.018
8820.0,0.01
8830.0,0.012
8840.0,0.011
8850.0,0.011
8860.0,0.01
8870.0,0.018
8880.0,0.008
8890.0,0.016
8900.0,0.014
8910.0,0.016
8920.0,0.016
8930.0,0.009
8940.0,0.009
8950.0,0.014
8960.0,0.009
8970.0,0.018
8980.0,0.019
8990.0,0.016
9000.0,0.014
9010.0,0.016
9020.0,0.011
9030.0,0.016
9040.0,0.017
9050.0,0.017
9060.0,0.016
9070.0,0.018
9080.0,0.016
9090.0,0.019
9100.0,0.018
9110.0,0.01
9120.0,0.019
9130.0,0.019
9140.0,0.017
9150.0,0.009
9160.0,0.013
9170.0,0.018
9180.0,0.016
9190.0,0.011
9200.0,0.014
9210.0,0.017
9220.0,0.015
9230.0,0.008
9240.0,0.015
9250.0,0.015
9260.0,0.016
9270.0,0.015
9280.0,0.01
9290.0,0.015
9300.0,0.014
9310.0,0.009
9320.0,0.017
9330.0,0.016
9340.0,0.017
9350.0,0.016
9360.0,0.008
9370.0,0.018
9380.0,0.009
9390.0,0.015
9400.0,0.015
9410.0,0.014
9420.0,0.01
9430.0,0.01
9440.0,0.011
9450.0,0.015
9460.0,0.017
9470.0,0.008
9480.0,0.015
9490.0,0.01
9500.0,0.015
9510.0,0.012
9520.0,0.011
9530.0,0.009
9540.0,0.017
9550.0,0.015
9560.0,0.013
9570.0,0.015
9580.0,0.018
9590.0,0.011
9600.0,0.01
9610.0,0.017
9620.0,0.008
9630.0,0.015
9640.0,0.012
9650.0,0.017
9660.0,0.008
9670.0,0.016
9680.0,0.023
9690.0,0.016
9700.0,0.017
9710.0,0.01
9720.0,0.016
9730.0,0.012
9740.0,0.015
9750.0,0.01
9760.0,0.01
9770.0,0.014
9780.0,0.016
9790.0,0.01
9800.0,0.008
9810.0,0.007
9820.0,0.017
9830.0,0.013
9840.0,0.019
9850.0,0.008
9860.0,0.011
9870.0,0.02
9880.0,0.018
9890.0,0.016
9900.0,0.017
9910.0,0.018
9920.0,0.017
9930.0,0.015
9940.0,0.01
9950.0,0.016
9960.0,0.011
9970.0,0.018
9980.0,0.008
9990.0,0.018
10000.0,0.007
10010.0,0.011
10020.0,0.008
10030.0,0.019
10040.0,0.008
10050.0,0.01
10060.0,0.016
10070.0,0.009
10080.0,0.016
10090.0,0.014
10100.0,0.008
10110.0,0.009
10120.0,0.019
10130.0,0.015
10140.0,0.017
10150.0,0.008
10160.0,0.015
10170.0,0.013
10180.0,0.017
10190.0,0.009
10200.0,0.021
10210.0,0.018
10220.0,0.016
10230.0,0.008
10240.0,0.016
10250.0,0.009
10260.0,0.016
10270.0,0.009
10280.0,0.021
10290.0,0.011
10300.0,0.017
10310.0,0.014
10320.0,0.018
10330.0,0.008
10340.0,0.008
10350.0,0.007
10360.0,0.008
10370.0,0.019
10380.0,0.013
10390.0,0.017
10400.0,0.008
10410.0,0.008
10420.0,0.011
10430.0,0.014
10440.0,0.013
10450.0,0.017
10460.0,0.014
10470.0,0.016
10480.0,0.019
10490.0,0.013
10500.0,0.007
10510.0,0.015
10520.0,0.008
10530.0,0.019
10540.0,0.007
10550.0,0.019
10560.0,0.012
10570.0,0.018
10580.0,0.013
10590.0,0.016
10600.0,0.018
10610.0,0.017
10620.0,0.01
10630.0,0.018
10640.0,0.008
10650.0,0.015
10660.0,0.017
10670.0,0.007
10680.0,0.015
10690.0,0.012
10700.0,0.017
10710.0,0.007
10720.0,0.019
10730.0,0.009
10740.0,0.008
10750.0,0.02
10760.0,0.015
10770.0,0.024
10780.0,0.017
10790.0,0.016
10800.0,0.014
10810.0,0.015
10820.0,0.015
10830.0,0.019
10840.0,0.018
10850.0,0.014
10860.0,0.007
10870.0,0.018
10880.0,0.016
10890.0,0.019
10900.0,0.012
10910.0,0.019
10920.0,0.017
10930.0,0.019
10940.0,0.019
10950.0,0.01
10960.0,0.017
10970.0,0.007
10980.0,0.015
10990.0,0.016
11000.0,0.008
11010.0,0.013
11020.0,0.015
11030.0,0.014
11040.0,0.016
11050.0,0.022
11060.0,0.017
11070.0,0.016
11080.0,0.015
11090.0,0.017
11100.0,0.016
11110.0,0.019
11120.0,0.016
11130.0,0.008
11140.0,0.015
11150.0,0.019
11160.0,0.016
11170.0,0.018
11180.0,0.021
11190.0,0.02
11200.0,0.01
11210.0,0.016
11220.0,0.016
11230.0,0.013
11240.0,0.018
11250.0,0.013
11260.0,0.02
11270.0,0.015
11280.0,0.016
