Point in Time[s],Optimisation Time[s]
7570.0,0.023
7580.0,0.03
7590.0,0.029
7600.0,0.028
7610.0,0.028
7620.0,0.022
7630.0,0.028
7640.0,0.024
7650.0,0.028
7660.0,0.029
7670.0,0.031
7680.0,0.024
7690.0,0.025
7700.0,0.024
7710.0,0.026
7720.0,0.031
7730.0,0.02
7740.0,0.03
7750.0,0.029
7760.0,0.03
7770.0,0.033
7780.0,0.03
7790.0,0.036
7800.0,0.027
7810.0,0.029
7820.0,0.04
7830.0,0.026
7840.0,0.034
7850.0,0.023
7860.0,0.024
7870.0,0.031
7880.0,0.028
7890.0,0.034
7900.0,0.029
7910.0,0.034
7920.0,0.029
7930.0,0.022
7940.0,0.033
7950.0,0.029
7960.0,0.031
7970.0,0.026
7980.0,0.026
7990.0,0.029
8000.0,0.03
8010.0,0.039
8020.0,0.033
8030.0,0.028
8040.0,0.028
8050.0,0.026
8060.0,0.036
8070.0,0.029
8080.0,0.031
8090.0,0.029
8100.0,0.03
8110.0,0.031
8120.0,0.035
8130.0,0.033
8140.0,0.025
8150.0,0.029
8160.0,0.034
8170.0,0.03
8180.0,0.03
8190.0,0.032
8200.0,0.017
8210.0,0.031
8220.0,0.024
8230.0,0.027
8240.0,0.031
8250.0,0.032
8260.0,0.028
8270.0,0.03
8280.0,0.037
8290.0,0.033
8300.0,0.042
8310.0,0.033
8320.0,0.043
8330.0,0.034
8340.0,0.025
8350.0,0.025
8360.0,0.027
8370.0,0.031
8380.0,0.034
8390.0,0.026
8400.0,0.031
8410.0,0.029
8420.0,0.028
8430.0,0.034
8440.0,0.032
8450.0,0.035
8460.0,0.032
8470.0,0.029
8480.0,0.04
8490.0,0.025
8500.0,0.031
8510.0,0.027
8520.0,0.023
8530.0,0.024
8540.0,0.02
8550.0,0.019
8560.0,0.025
8570.0,0.038
8580.0,0.035
8590.0,0.032
8600.0,0.03
8610.0,0.039
8620.0,0.028
8630.0,0.025
8640.0,0.032
8650.0,0.03
8660.0,0.029
8670.0,0.03
8680.0,0.025
8690.0,0.022
8700.0,0.031
8710.0,0.031
8720.0,0.027
8730.0,0.028
8740.0,0.027
8750.0,0.029
8760.0,0.027
8770.0,0.034
8780.0,0.028
8790.0,0.022
8800.0,0.026
8810.0,0.037
8820.0,0.026
8830.0,0.025
8840.0,0.028
8850.0,0.028
8860.0,0.031
8870.0,0.026
8880.0,0.026
8890.0,0.029
8900.0,0.025
8910.0,0.032
8920.0,0.019
8930.0,0.03
8940.0,0.027
8950.0,0.025
8960.0,0.03
8970.0,0.03
8980.0,0.031
8990.0,0.026
9000.0,0.025
9010.0,0.029
9020.0,0.022
9030.0,0.03
9040.0,0.029
9050.0,0.024
9060.0,0.033
9070.0,0.023
9080.0,0.026
9090.0,0.032
9100.0,0.036
9110.0,0.026
9120.0,0.031
9130.0,0.029
9140.0,0.02
9150.0,0.017
9160.0,0.026
9170.0,0.029
9180.0,0.03
9190.0,0.02
9200.0,0.024
9210.0,0.029
9220.0,0.026
9230.0,0.031
9240.0,0.023
9250.0,0.035
9260.0,0.017
9270.0,0.02
