Point in Time[s],Power Consumption[W]
9119.796,84.0
9125.994,48.0
9138.927,49.0
9146.031,48.0
9158.94,54.0
9169.768,48.0
9178.963,48.0
9185.895,56.0
9198.989,58.0
9209.769,52.0
9219.008,69.0
9225.997,57.0
9239.789,61.0
9245.928,95.0
9259.065,77.0
9269.769,52.0
9279.08,53.0
9289.769,53.0
9299.183,67.0
9309.768,53.0
9319.204,51.0
9329.769,57.0
9339.218,53.0
9345.9,54.0
9359.791,66.0
9365.901,50.0
9379.282,54.0
9389.769,49.0
9399.299,87.0
9409.769,51.0
9419.32,50.0
9429.771,57.0
9439.341,51.0
9449.769,87.0
9459.358,52.0
9465.999,47.0
9476.893,92.0
9489.772,62.0
9499.427,55.0
9505.99,50.0
9519.441,54.0
9529.77,85.0
9539.469,50.0
9546.002,49.0
9559.488,49.0
9565.885,48.0
9579.5,51.0
9589.772,49.0
9596.885,48.0
9609.773,48.0
9619.558,53.0
9629.771,57.0
9639.583,54.0
9649.771,62.0
9659.598,67.0
9665.886,62.0
9679.617,64.0
9685.886,74.0
9699.64,70.0
9705.888,64.0
9719.797,71.0
9729.775,55.0
9739.7,57.0
9749.776,52.0
9759.717,59.0
9765.886,53.0
9779.735,50.0
9785.896,90.0
9799.754,53.0
9805.883,52.0
9819.768,49.0
9829.772,54.0
9836.893,67.0
9846.0,49.0
9859.77,48.0
9865.886,51.0
9879.771,49.0
9885.997,49.0
9899.774,51.0
9905.886,50.0
9919.771,50.0
9925.994,51.0
9939.771,49.0
9946.005,50.0
9959.799,51.0
9965.886,66.0
9979.773,49.0
9986.001,85.0
9999.785,50.0
10005.903,48.0
10019.778,53.0
10025.899,51.0
10039.778,55.0
10045.902,88.0
10059.778,67.0
10069.779,56.0
10076.876,67.0
10085.89,80.0
10099.775,53.0
10109.779,76.0
10119.776,53.0
10129.78,72.0
10139.78,56.0
10146.022,51.0
10159.787,50.0
10169.779,85.0
10179.779,85.0
10189.782,54.0
10196.892,49.0
10206.014,67.0
10219.781,51.0
10229.784,71.0
10239.782,48.0
10246.005,51.0
10259.782,49.0
10265.994,50.0
10279.781,66.0
10289.782,51.0
10299.786,59.0
10309.782,49.0
10316.907,51.0
10329.782,50.0
10339.779,93.0
10349.782,67.0
10359.783,67.0
10369.783,53.0
10379.787,54.0
10389.783,59.0
10399.779,50.0
10406.007,66.0
10419.784,87.0
10425.889,67.0
10436.887,85.0
10449.785,51.0
10459.791,56.0
10466.007,90.0
10479.788,66.0
10489.788,52.0
10499.791,49.0
10509.787,49.0
10519.788,49.0
10526.009,51.0
10539.785,50.0
10546.008,61.0
10556.871,69.0
10569.79,50.0
10579.79,49.0
10589.791,61.0
10599.791,49.0
10605.892,48.0
10619.794,50.0
10625.891,49.0
10639.79,57.0
10645.894,49.0
10659.785,49.0
10665.89,53.0
10679.813,89.0
10689.792,49.0
10699.788,50.0
10705.895,60.0
10719.787,56.0
10725.891,49.0
10739.795,59.0
10749.793,49.0
10759.786,51.0
10766.005,66.0
10779.787,61.0
10785.897,49.0
10796.868,80.0
10805.893,66.0
10815.894,52.0
10825.048,66.0
10839.796,51.0
10845.888,50.0
10855.895,67.0
10865.895,51.0
10879.789,65.0
10885.891,72.0
10899.792,51.0
10905.896,49.0
10919.82,52.0
10925.89,66.0
10939.796,54.0
10945.889,51.0
10955.893,56.0
10969.796,49.0
10979.799,55.0
10986.006,71.0
10999.795,58.0
11009.801,79.0
11019.795,56.0
11025.91,49.0
11036.916,59.0
11046.02,49.0
11055.892,50.0
